CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,_CNPJ_DIGITOS,_DT_REFER,_VERSAO_NUM
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2,Passivo Total,10819612.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01,Passivo Circulante,1442203.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.01,Obrigações Sociais e Trabalhistas,77172.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.01.01,Obrigações Sociais,0.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.01.02,Obrigações Trabalhistas,77172.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.02,Fornecedores,195036.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.02.01,Fornecedores Nacionais,195036.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.02.02,Fornecedores Estrangeiros,0.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.03,Obrigações Fiscais,63636.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.03.01,Obrigações Fiscais Federais,63636.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,19836.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.03.01.02,Obrigações Fiscais Federais,43800.0000000000,N,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.03.01.03,Parcelamento de Tributos,0.0000000000,N,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.03.02,Obrigações Fiscais Estaduais,0.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.03.03,Obrigações Fiscais Municipais,0.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.04,Empréstimos e Financiamentos,408124.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.04.01,Empréstimos e Financiamentos,402902.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.04.01.01,Em Moeda Nacional,402902.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.04.01.02,Em Moeda Estrangeira,0.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.04.02,Debêntures,5222.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.04.03,Financiamento por Arrendamento,0.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.05,Outras Obrigações,698235.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.05.01,Passivos com Partes Relacionadas,50.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.05.01.01,Débitos com Coligadas,0.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.05.01.03,Débitos com Controladores,0.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.05.02,Outros,698185.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.05.02.01,Dividendos e JCP a Pagar,0.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0000000000,S,07594978000178,2022-06-30,1
07.594.978/0001-78,2022-06-30,1,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,024260,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2022-06-30,2.01.05.02.04,Contas a Pagar,52396.0000000000,N,07594978000178,2022-06-30,1
